,year,state,lbs_of_honey
280,2013,OREGON,456000
281,2013,OTHER STATES,186000
282,2013,PENNSYLVANIA,257000
283,2013,SOUTH DAKOTA,6381000
284,2013,TENNESSEE,63000
285,2013,TEXAS,1689000
286,2013,UTAH,92000
287,2013,VERMONT,61000
288,2013,VIRGINIA,42000
289,2013,WASHINGTON,1023000
290,2013,WEST VIRGINIA,83000
291,2013,WISCONSIN,1558000
292,2013,WYOMING,558000
293,2012,US TOTAL,31829000
294,2012,ALABAMA,65000
295,2012,ARIZONA,253000
296,2012,ARKANSAS,189000
297,2012,CALIFORNIA,3119000
298,2012,COLORADO,468000
299,2012,FLORIDA,1235000
300,2012,GEORGIA,181000
301,2012,HAWAII,263000
302,2012,IDAHO,530000
303,2012,ILLINOIS,145000
304,2012,INDIANA,203000
305,2012,IOWA,1196000
306,2012,KANSAS,125000
307,2012,KENTUCKY,41000
308,2012,LOUISIANA,141000
309,2012,MAINE,24000
310,2012,MICHIGAN,1332000
311,2012,MINNESOTA,1591000
312,2012,MISSISSIPPI,64000
313,2012,MISSOURI,108000
314,2012,MONTANA,2413000
315,2012,NEBRASKA,1146000
316,2012,NEW JERSEY,51000
317,2012,NEW MEXICO,99000
318,2012,NEW YORK,988000
319,2012,NORTH CAROLINA,106000
320,2012,NORTH DAKOTA,5962000
321,2012,OHIO,410000
322,2012,OREGON,845000
323,2012,OTHER STATES,167000
324,2012,PENNSYLVANIA,269000
325,2012,SOUTH DAKOTA,3604000
326,2012,TENNESSEE,59000
327,2012,TEXAS,718000
328,2012,UTAH,209000
329,2012,VERMONT,53000
330,2012,VIRGINIA,23000
331,2012,WASHINGTON,1017000
332,2012,WEST VIRGINIA,95000
333,2012,WISCONSIN,1863000
334,2012,WYOMING,459000
335,2011,US TOTAL,36761000
336,2011,ALABAMA,63000
337,2011,ARIZONA,427000
338,2011,ARKANSAS,239000
339,2011,CALIFORNIA,3730000
340,2011,COLORADO,443000
341,2011,FLORIDA,988000
342,2011,GEORGIA,196000
343,2011,HAWAII,246000
344,2011,IDAHO,1879000
345,2011,ILLINOIS,98000
346,2011,INDIANA,147000
347,2011,IOWA,961000
348,2011,KANSAS,117000
349,2011,KENTUCKY,12000
350,2011,LOUISIANA,471000
351,2011,MAINE,17000
352,2011,MICHIGAN,2084000
353,2011,MINNESOTA,2099000
354,2011,MISSISSIPPI,104000
355,2011,MISSOURI,76000
356,2011,MONTANA,3202000
357,2011,NEBRASKA,653000
358,2011,NEW JERSEY,135000
359,2011,NEW MEXICO,153000
360,2011,NEW YORK,1235000
361,2011,NORTH CAROLINA,95000
362,2011,NORTH DAKOTA,7512000
363,2011,OHIO,228000
364,2011,OREGON,755000
365,2011,OTHER STATES,211000
366,2011,PENNSYLVANIA,306000
367,2011,SOUTH DAKOTA,4290000
368,2011,TENNESSEE,68000
369,2011,TEXAS,633000
370,2011,UTAH,170000
371,2011,VERMONT,43000
372,2011,VIRGINIA,21000
373,2011,WASHINGTON,836000
374,2011,WEST VIRGINIA,45000
375,2011,WISCONSIN,1508000
376,2011,WYOMING,265000
377,2010,US TOTAL,45018000
378,2010,ALABAMA,73000
379,2010,ARIZONA,665000
380,2010,ARKANSAS,360000
381,2010,CALIFORNIA,6318000
382,2010,COLORADO,533000
383,2010,FLORIDA,1794000
384,2010,GEORGIA,152000
385,2010,HAWAII,239000
386,2010,IDAHO,1179000
387,2010,ILLINOIS,92000
388,2010,INDIANA,151000
389,2010,IOWA,463000
390,2010,KANSAS,103000
391,2010,KENTUCKY,67000
392,2010,LOUISIANA,288000
393,2010,MAINE,33000
394,2010,MICHIGAN,1524000
395,2010,MINNESOTA,1774000
396,2010,MISSISSIPPI,78000
397,2010,MISSOURI,92000
398,2010,MONTANA,2905000
399,2010,NEBRASKA,902000
400,2010,NEW JERSEY,73000
401,2010,NEW MEXICO,157000
402,2010,NEW YORK,1123000
403,2010,NORTH CAROLINA,144000
404,2010,NORTH DAKOTA,12995000
405,2010,OHIO,346000
406,2010,OREGON,874000
407,2010,OTHER STATES,221000
408,2010,PENNSYLVANIA,377000
409,2010,SOUTH DAKOTA,4765000
410,2010,TENNESSEE,106000
411,2010,TEXAS,792000
412,2010,UTAH,195000
413,2010,VERMONT,73000
414,2010,VIRGINIA,37000
415,2010,WASHINGTON,1077000
416,2010,WEST VIRGINIA,40000
417,2010,WISCONSIN,1556000
418,2010,WYOMING,282000
419,2009,US TOTAL,37516000
420,2009,ALABAMA,68000
421,2009,ARIZONA,562000
422,2009,ARKANSAS,301000
423,2009,CALIFORNIA,2109000
424,2009,COLORADO,326000
425,2009,FLORIDA,1618000
426,2009,GEORGIA,346000
427,2009,HAWAII,323000
428,2009,IDAHO,1706000
429,2009,ILLINOIS,57000
430,2009,INDIANA,101000
431,2009,IOWA,339000
432,2009,KANSAS,164000
433,2009,KENTUCKY,25000
434,2009,LOUISIANA,610000
435,2009,MAINE,51000
436,2009,MICHIGAN,1505000
437,2009,MINNESOTA,1427000
438,2009,MISSISSIPPI,87000
439,2009,MISSOURI,57000
440,2009,MONTANA,3577000
441,2009,NEBRASKA,1102000
442,2009,NEW JERSEY,70000
443,2009,NEW MEXICO,143000
444,2009,NEW YORK,936000
445,2009,NORTH CAROLINA,84000
446,2009,NORTH DAKOTA,7623000
447,2009,OHIO,132000
448,2009,OREGON,767000
449,2009,OTHER STATES,194000
450,2009,PENNSYLVANIA,319000
451,2009,SOUTH DAKOTA,6237000
452,2009,TENNESSEE,86000
453,2009,TEXAS,1065000
454,2009,UTAH,198000
455,2009,VERMONT,69000
456,2009,VIRGINIA,56000
457,2009,WASHINGTON,1064000
458,2009,WEST VIRGINIA,33000
459,2009,WISCONSIN,1588000
460,2009,WYOMING,391000
461,2008,US TOTAL,51159000
462,2008,ALABAMA,214000
463,2008,ARIZONA,336000
464,2008,ARKANSAS,525000
465,2008,CALIFORNIA,4039000
466,2008,COLORADO,656000
467,2008,FLORIDA,1304000
468,2008,GEORGIA,369000
469,2008,HAWAII,225000
470,2008,IDAHO,1440000
471,2008,ILLINOIS,116000
472,2008,INDIANA,150000
473,2008,IOWA,580000
474,2008,KANSAS,128000
475,2008,KENTUCKY,27000
476,2008,LOUISIANA,493000
477,2008,MAINE,79000
478,2008,MICHIGAN,2021000
479,2008,MINNESOTA,2569000
480,2008,MISSISSIPPI,110000
481,2008,MISSOURI,152000
482,2008,MONTANA,4596000
483,2008,NEBRASKA,1254000
484,2008,NEVADA,52000
485,2008,NEW JERSEY,122000
486,2008,NEW MEXICO,95000
487,2008,NEW YORK,1260000
488,2008,NORTH CAROLINA,137000
489,2008,NORTH DAKOTA,8640000
490,2008,OHIO,371000
491,2008,OREGON,1097000
492,2008,OTHER STATES,163000
493,2008,PENNSYLVANIA,276000
494,2008,SOUTH DAKOTA,11970000
495,2008,TENNESSEE,149000
496,2008,TEXAS,1380000
497,2008,UTAH,242000
498,2008,VERMONT,119000
499,2008,VIRGINIA,45000
500,2008,WASHINGTON,862000
501,2008,WEST VIRGINIA,49000
502,2008,WISCONSIN,2366000
503,2008,WYOMING,381000
504,2007,US TOTAL,52635000
505,2007,ALABAMA,209000
506,2007,ARIZONA,902000
507,2007,ARKANSAS,672000
508,2007,CALIFORNIA,3672000
509,2007,COLORADO,838000
510,2007,FLORIDA,1363000
511,2007,GEORGIA,522000
512,2007,HAWAII,285000
513,2007,IDAHO,1848000
514,2007,ILLINOIS,374000
515,2007,INDIANA,119000
516,2007,IOWA,1221000
517,2007,KANSAS,196000
518,2007,KENTUCKY,54000
519,2007,LOUISIANA,413000
520,2007,MAINE,59000
521,2007,MICHIGAN,2350000
522,2007,MINNESOTA,2564000
523,2007,MISSISSIPPI,166000
524,2007,MISSOURI,148000
525,2007,MONTANA,2479000
526,2007,NEBRASKA,1477000
527,2007,NEVADA,67000
528,2007,NEW JERSEY,185000
529,2007,NEW MEXICO,138000
530,2007,NEW YORK,1843000
531,2007,NORTH CAROLINA,76000
532,2007,NORTH DAKOTA,9013000
533,2007,OHIO,376000
534,2007,OREGON,1088000
535,2007,OTHER STATES,230000
536,2007,PENNSYLVANIA,326000
537,2007,SOUTH DAKOTA,10608000
538,2007,TENNESSEE,114000
539,2007,TEXAS,1550000
540,2007,UTAH,270000
541,2007,VERMONT,96000
542,2007,VIRGINIA,63000
543,2007,WASHINGTON,648000
544,2007,WEST VIRGINIA,95000
545,2007,WISCONSIN,3024000
546,2007,WYOMING,894000
