,year,state,lbs_per_acre,commodity
65,2017,MICHIGAN,7140.0,CHERRIES
66,2017,MINNESOTA,8860.0,APPLES
67,2017,NEW JERSEY,17500.0,APPLES
68,2017,NEW YORK,31000.0,APPLES
69,2017,NEW YORK,5710.0,CHERRIES
70,2017,NORTH CAROLINA,20000.0,APPLES
71,2017,OHIO,14700.0,APPLES
72,2017,OREGON,35000.0,APPLES
74,2017,PENNSYLVANIA,26400.0,APPLES
75,2017,UTAH,7880.0,CHERRIES
76,2017,VERMONT,14700.0,APPLES
77,2017,VIRGINIA,22500.0,APPLES
78,2017,WASHINGTON,45500.0,APPLES
79,2017,WASHINGTON,10000.0,CHERRIES
80,2017,WEST VIRGINIA,21300.0,APPLES
81,2017,WISCONSIN,12300.0,APPLES
82,2017,WISCONSIN,7060.0,CHERRIES
83,2016,US TOTAL,35000.0,APPLES
84,2016,US TOTAL,9170.0,CHERRIES
86,2016,CALIFORNIA,18200.0,APPLES
88,2016,CONNECTICUT,7170.0,APPLES
89,2016,IDAHO,25100.0,APPLES
90,2016,ILLINOIS,11000.0,APPLES
93,2016,MAINE,12600.0,APPLES
94,2016,MARYLAND,22600.0,APPLES
95,2016,MASSACHUSETTS,10000.0,APPLES
96,2016,MICHIGAN,38600.0,APPLES
97,2016,MICHIGAN,8410.0,CHERRIES
98,2016,MINNESOTA,7410.0,APPLES
100,2016,NEW JERSEY,14500.0,APPLES
101,2016,NEW YORK,29100.0,APPLES
102,2016,NEW YORK,4940.0,CHERRIES
103,2016,NORTH CAROLINA,20400.0,APPLES
104,2016,OHIO,10500.0,APPLES
105,2016,OREGON,39100.0,APPLES
108,2016,PENNSYLVANIA,23400.0,APPLES
111,2016,UTAH,16000.0,CHERRIES
112,2016,VERMONT,15800.0,APPLES
113,2016,VIRGINIA,17500.0,APPLES
114,2016,WASHINGTON,44400.0,APPLES
115,2016,WASHINGTON,12200.0,CHERRIES
116,2016,WEST VIRGINIA,17400.0,APPLES
117,2016,WISCONSIN,10300.0,APPLES
118,2016,WISCONSIN,8000.0,CHERRIES
119,2015,US TOTAL,30400.0,APPLES
120,2015,US TOTAL,4510.0,BLUEBERRIES
121,2015,US TOTAL,6760.0,CHERRIES
123,2015,CALIFORNIA,14900.0,APPLES
125,2015,CONNECTICUT,13900.0,APPLES
126,2015,IDAHO,20000.0,APPLES
127,2015,ILLINOIS,12100.0,APPLES
128,2015,INDIANA,17300.0,APPLES
129,2015,IOWA,5330.0,APPLES
130,2015,MAINE,13200.0,APPLES
131,2015,MAINE,4510.0,BLUEBERRIES
132,2015,MARYLAND,22800.0,APPLES
133,2015,MASSACHUSETTS,14400.0,APPLES
134,2015,MICHIGAN,30200.0,APPLES
135,2015,MICHIGAN,5750.0,CHERRIES
136,2015,MINNESOTA,10000.0,APPLES
137,2015,MISSOURI,25700.0,APPLES
138,2015,NEW HAMPSHIRE,15500.0,APPLES
139,2015,NEW JERSEY,19900.0,APPLES
140,2015,NEW YORK,33100.0,APPLES
141,2015,NEW YORK,6560.0,CHERRIES
142,2015,NORTH CAROLINA,17500.0,APPLES
