,year,state,count_colonies
220,2019,OREGON,95666.66666666667
221,2019,OTHER STATES,10246.666666666666
222,2019,PENNSYLVANIA,18333.333333333332
223,2019,SOUTH CAROLINA,13000.0
224,2019,SOUTH DAKOTA,154166.66666666666
225,2019,TENNESSEE,10333.333333333334
226,2019,TEXAS,171666.66666666666
227,2019,US TOTAL,2955180.0
228,2019,UTAH,20833.333333333332
229,2019,VERMONT,6833.333333333333
230,2019,VIRGINIA,7500.0
231,2019,WASHINGTON,75000.0
232,2019,WEST VIRGINIA,7500.0
233,2019,WISCONSIN,41833.333333333336
234,2019,WYOMING,19166.666666666668
235,2020,ALABAMA,7000.0
236,2020,ARIZONA,27500.0
237,2020,ARKANSAS,16750.0
238,2020,CALIFORNIA,1275000.0
239,2020,COLORADO,10500.0
240,2020,CONNECTICUT,3800.0
241,2020,FLORIDA,310000.0
242,2020,GEORGIA,128000.0
243,2020,HAWAII,15750.0
244,2020,IDAHO,102000.0
245,2020,ILLINOIS,11750.0
246,2020,INDIANA,11000.0
247,2020,IOWA,15000.0
248,2020,KANSAS,6000.0
249,2020,KENTUCKY,9000.0
250,2020,LOUISIANA,48500.0
251,2020,MAINE,1450.0
252,2020,MARYLAND,7000.0
253,2020,MASSACHUSETTS,4050.0
254,2020,MICHIGAN,62000.0
255,2020,MINNESOTA,40000.0
256,2020,MISSISSIPPI,30000.0
257,2020,MISSOURI,7500.0
258,2020,MONTANA,33000.0
259,2020,NEBRASKA,12750.0
260,2020,NEW JERSEY,6750.0
261,2020,NEW MEXICO,4550.0
262,2020,NEW YORK,31000.0
263,2020,NORTH CAROLINA,19500.0
264,2020,NORTH DAKOTA,60000.0
265,2020,OHIO,15500.0
266,2020,OKLAHOMA,17750.0
267,2020,OREGON,93000.0
268,2020,OTHER STATES,7150.0
269,2020,PENNSYLVANIA,21250.0
270,2020,SOUTH CAROLINA,16250.0
271,2020,SOUTH DAKOTA,14750.0
272,2020,TENNESSEE,10750.0
273,2020,TEXAS,297500.0
274,2020,US TOTAL,2929500.0
275,2020,UTAH,16500.0
276,2020,VERMONT,6750.0
277,2020,VIRGINIA,6750.0
278,2020,WASHINGTON,49500.0
279,2020,WEST VIRGINIA,6750.0
280,2020,WISCONSIN,21500.0
281,2020,WYOMING,10750.0
